Ingots traded,Pearl trades,Player
22,3,Dream
5,2,Dream
24,2,Dream
18,2,Dream
4,0,Dream
1,1,Dream
7,2,Dream
12,5,Dream
26,3,Dream
8,2,Dream
5,2,Dream
20,2,Dream
2,0,Dream
13,1,Dream
10,2,Dream
10,2,Dream
21,2,Dream
20,2,Dream
10,2,Dream
3,1,Dream
18,2,Dream
3,2,Dream
21,2,Benex
9,3,Benex
3,0,Benex
7,1,Benex
20,2,Benex
15,2,Benex
18,1,Benex
17,1,Benex
29,0,Benex
21,1,Benex
22,1,Benex
14,0,Benex
21,1,Benex
5,0,Benex
17,0,Benex
18,1,Benex
25,0,Benex
27,1,Benex
20,1,Benex
13,0,Benex
9,0,Benex
5,1,Illumina
30,2,Illumina
1,0,Illumina
24,0,Illumina
4,0,Illumina
10,0,Illumina
28,1,Illumina
9,1,Illumina
9,0,Illumina
18,1,Illumina
8,2,Illumina
7,1,Illumina
10,0,Illumina
20,2,Illumina
10,0,Illumina
14,1,Illumina
18,1,Illumina
8,0,Illumina
18,1,Illumina
6,2,Illumina
62,4,Illumina
4,0,Illumina
112,8,Sizzler
61,1,Sizzler
76,4,Sizzler
20,1,Sizzler
25,0,Sizzler
32,1,Sizzler
26,2,Sizzler
12,0,Sizzler
41,0,Sizzler
28,1,Sizzler
6,0,Sizzler
14,0,Sizzler
4,1,Sizzler
10,0,Sizzler
22,0,Sizzler
21,0,Sizzler
3,0,Sizzler
8,0,Sizzler
11,1,Sizzler
37,2,Sizzler
10,1,Sizzler
17,2,Sizzler
17,1,Sizzler
21,0,Sizzler
6,0,Vadikus007
38,2,Vadikus007
32,0,Vadikus007
23,0,Vadikus007
17,2,Vadikus007
12,0,Vadikus007
9,0,Vadikus007
4,0,Vadikus007
21,1,Vadikus007
25,0,Vadikus007
17,1,Vadikus007
23,1,Vadikus007
4,1,Vadikus007
7,2,Vadikus007
8,1,Vadikus007
8,2,Vadikus007
18,1,Vadikus007
21,1,Vadikus007
22,1,Vadikus007
19,0,Vadikus007
9,0,Vadikus007
3,0,Vadikus007
4,0,Vadikus007
17,0,Vadikus007
7,0,Vadikus007
